"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union","rec_ID"
"15-49",7628,NA,NA,NA,NA,16.6495041,12.00589912,4.643604979,18.88534743,NA,NA,NA,"MW","0",NA,NA,0,566,"Nigeria",2018,2018,2018.616438,2018.991781,"2018 DHS","DHS",0,"ng7a",0.034502939,0.068643558,0.023227453,0.003508892,0.002967491,0.003380446,1,"1_7628_2018_NA"
"15-49",7653,NA,NA,"Sampling design might not be representative for the whole country.",NA,27.05673401,18.8538589,8.063824606,22.79634574,"Sampling design might not be representative for the whole country.",NA,NA,"MW","0",NA,NA,0,566,"Nigeria",2018,2018,2018.246575,2018.408219,"2018 PMA-R5","PMA",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7653_2018_Sampling design might not be representative for the whole country."
"15-49",5035,NA,NA,NA,NA,40.37709211,12.99252856,27.38456355,17.2,NA,NA,NA,"MW","0",NA,NA,0,807,"North Macedonia",2011,2011,2011.246575,2011.082192,"2011 MICS","MICS",0,"mcwm4",0.079221247,0.068165776,0.056240651,0.008351627,0.012765125,0.012221732,1,"1_5035_2011_NA"
"15-49",7584,"Figures by method do not sum up to total. Missing answers about specific contraceptive method used not assigned to modern or traditional.",NA,NA,NA,59.86764267,13.98713047,45.63702787,10.2779884,NA,NA,NA,"MW","0",NA,NA,0,807,"North Macedonia",2018,2019,2018.876712,2019.227397,"2018-2019 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7584_2018_NA"
"20-43",2786,NA,NA,NA,NA,73.84365537,69.21665465,4.627000721,NA,NA,NA,NA,"MW","+",NA,NA,1,578,"Norway",1988,1989,1988.748634,1989.410959,"1988-1989 FFS","FFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2786_1988_NA"
"15-49",19,NA,NA,"Data pertain to nationals of the country.",NA,8.6,7.5,1.1,NA,"Data pertain to nationals of the country.",NA,NA,"MW","0",NA,NA,0,512,"Oman",1988,1989,1987.832877,1989.158904,"1988-1989 CHS","GFHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_19_1987_Data pertain to nationals of the country."
"15-49",189,NA,NA,"Data pertain to nationals of the country.",NA,23.7,18.2,5.6,NA,"Data pertain to nationals of the country.",NA,NA,"MW","0",NA,NA,0,512,"Oman",1995,1995,1995.747945,1995.99726,"1995 FHS","GFHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_189_1995_Data pertain to nationals of the country."
"15-49",5390,NA,NA,"Data pertain to nationals of the country.",NA,31.7,24.6,7.1,NA,"Data pertain to nationals of the country.",NA,NA,"MW","0",NA,NA,0,512,"Oman",2000,2000,2000,2000,"2000 NHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5390_2000_Data pertain to nationals of the country."
"15-49",5559,NA,NA,"Data pertain to nationals of the country.",NA,24.4,15.3,9.1,55.9,"Data pertain to nationals of the country.",NA,NA,"MW","0",NA,NA,0,512,"Oman",2007,2008,2007.49589,2008.412568,"2008 RHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5559_2007_Data pertain to nationals of the country."
"15-49",5587,NA,NA,NA,NA,29.7,18.8,10.9,17.8,NA,NA,NA,"MW","0",NA,NA,0,512,"Oman",2014,2014,2014,2014,"2014 MICS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5587_2014_NA"
"15-49",4542,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",1968,1969,1968,1969,"1968-1969 NIS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4542_1968_NA"
"15-49",129,NA,NA,NA,NA,5.4,3.9,1.5,NA,NA,NA,NA,"MW","0",NA,NA,1,586,"Pakistan",1975,1975,1975.328767,1975.99726,"1975 WFS","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_129_1975_NA"
"15-49",798,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",1979,1980,1979,1980,"1979-1980 LFMS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_798_1979_NA"
"15-49",650,NA,NA,NA,"Data pertain to non-pregnant women.",9.1,7.6258,1.4742,NA,NA,"+",NA,"MW","0",NA,NA,0,586,"Pakistan",1984,1985,1984.748634,1985.243836,"1984-1985 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_650_1984_NA"
"15-49",1827,NA,NA,NA,NA,11.84200772,9.014487109,2.827520611,30.47182523,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",1990,1991,1990.915068,1991.410959,"1990-1991 DHS","DHS",0,"pk21",0.065617577,0.118721385,0.044041156,0.005338945,0.00323782,0.008589459,1,"1_1827_1990_NA"
"15-49",1998,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,1,586,"Pakistan",1991,1991,1991,1991.99726,"1991 IHS","LSMS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1998_1991_NA"
"15-49",2832,NA,NA,NA,NA,21.9,17.6,4,NA,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",1993,1993,1993.328767,1993.493151,"1993 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2832_1993_NA"
"15-49",2843,NA,NA,NA,NA,17.8,12.6,5.2,NA,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",1994,1995,1994.846575,1995.227397,"1994-1995 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2843_1994_NA"
"15-49",153,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",1995,1996,1995,1996,"1995-1996 IHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_153_1995_NA"
"15-49",1841,NA,NA,NA,NA,23.9,16.9,7,37.5,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",1996,1997,1996,1997,"1996-1997 FFPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1841_1996_NA"
"15-49",665,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",1996,1997,1996,1997,"1996-1997 IHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_665_1996_NA"
"15-49",152,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",1998,1999,1998,1999,"1998-1999 IHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_152_1998_NA"
"15-49",1842,NA,NA,NA,NA,27.6,20.21,7.39,33,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2000,2001,2000.748634,2001,"2000-2001 RHFPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1842_2000_NA"
"15-49",3263,NA,NA,NA,NA,32.1,25.2,6.8,NA,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2003,2003,2003,2003,"2003 SWRHFPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3263_2003_NA"
"15-49",4630,NA,NA,NA,NA,26,18.4,7.5,NA,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2005,2006,2005,2006,"2005-2006 LSMS","LSMS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4630_2005_NA"
"15-49",180,NA,NA,NA,NA,29.60306019,21.74667433,7.856385865,25.1573966,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2006,2007,2006.665753,2007.158904,"2006-2007 DHS","DHS",0,"pk52",0.037096116,0.059912601,0.029648532,0.006004973,0.00414172,0.00548978,1,"1_180_2006_NA"
"15-49",5418,"Adjusted.",NA,NA,NA,27,19.3,7.7,NA,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2007,2008,2007.49589,2008.494536,"2007-2008 LSMS","LSMS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5418_2007_NA"
"15-49",5775,NA,NA,"Excluding some areas in the Balochistan province.",NA,29,NA,NA,NA,"Excluding some areas in the Balochistan province.",NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2011,2012,2011.49589,2012.494536,"2011-2012 LSMS","LSMS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5775_2011_Excluding some areas in the Balochistan province."
"15-49",5461,NA,NA,NA,NA,35.40925527,26.09758877,9.311666502,20.08474331,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2012,2013,2012.748634,2013.326027,"2012-2013 DHS","DHS",0,"pk61",0.038218537,0.05897193,0.03677573,0.006900718,0.00467159,0.006026915,1,"1_5461_2012_NA"
"15-49",7423,NA,NA,"Excluding some areas in the Balochistan province.",NA,32,NA,NA,NA,"Excluding some areas in the Balochistan province.",NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2013,2014,2013.49589,2014.493151,"2013-2014 LSMS","LSMS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7423_2013_Excluding some areas in the Balochistan province."
"15-49",7367,NA,NA,NA,NA,34.1764821,25.01179853,9.164683569,17.31276816,NA,NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2017,2018,2017.49589,2018.326027,"2017-2018 DHS","DHS",0,"pk71",0.040290921,0.066200185,0.038098386,0.006778255,0.005024717,0.005462243,1,"1_7367_2017_NA"
"15-49",9021,NA,NA,"Excluding some areas in the Balochistan province.",NA,34,NA,NA,NA,"Excluding some areas in the Balochistan province.",NA,NA,"MW","0",NA,NA,0,586,"Pakistan",2018,2019,2018.580822,2019.493151,"2018-2019 LSMS","LSMS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_9021_2018_Excluding some areas in the Balochistan province."
"15-49",726,NA,NA,NA,NA,53.9,45.9,8,NA,NA,NA,NA,"MW","0",NA,NA,0,591,"Panama",1975,1976,1975,1976,"1975-1976 WFS","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_726_1975_NA"
"15-44",5152,NA,NA,NA,NA,60.6,54.1,6.5,NA,NA,NA,NA,"MW","?",NA,NA,0,591,"Panama",1979,1979,1979.747945,1980.122951,"1979 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5152_1979_NA"
"15-44",5153,NA,NA,NA,NA,58.2,54.2,4,16.4,NA,NA,NA,"MW","?",NA,NA,0,591,"Panama",1984,1985,1984.497268,1985.320548,"1984 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5153_1984_NA"
"15-49",5273,NA,NA,NA,NA,62.5,59.5,3,NA,NA,NA,NA,"MW","0",NA,NA,0,591,"Panama",2009,2009,2009,2009,"2009 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5273_2009_NA"
"15-49",5023,NA,NA,NA,NA,62.83116646,60.2953177,2.535848765,18.21213965,NA,NA,NA,"MW","0",NA,NA,1,591,"Panama",2013,2013,2013,2013,"2013 MICS","MICS",0,"pnwm5",0.060324955,0.131501847,0.085824388,0.014025004,0.003125971,0.010225838,1,"1_5023_2013_NA"
"15-49",7724,NA,NA,NA,NA,50.8,46.9,3.9,24.2,NA,NA,NA,"MW","0",NA,NA,0,591,"Panama",2014,2015,2014.657534,2015.912329,"2014-2015 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7724_2014_NA"
"15-49",670,NA,NA,NA,NA,25.9,19.6,6.3,NA,NA,NA,NA,"MW","0",NA,NA,0,598,"Papua New Guinea",1996,1997,1996.478142,1997.589041,"1996 DHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_670_1996_NA"
"15-49",3267,NA,NA,NA,NA,32.4,24.3,8.1,27.4,NA,NA,NA,"MW","0",NA,NA,0,598,"Papua New Guinea",2006,2007,2006.747945,2007.082192,"2006 DHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3267_2006_NA"
"15-49",7368,NA,NA,NA,NA,36.72144959,30.48916915,6.23228044,25.86190255,NA,NA,NA,"MW","0",NA,NA,0,598,"Papua New Guinea",2016,2018,2016.915301,2018.950685,"2016-2018 DHS","DHS",0,"pg71",0.050878333,0.073574181,0.043754656,0.010403419,0.004082384,0.006737267,1,"1_7368_2016_NA"
"15-44",168,NA,NA,NA,NA,28.6,23.3,5.2,NA,NA,NA,NA,"MW","?",NA,NA,0,600,"Paraguay",1977,1977,1977.49589,1977.320548,"1977 EDN","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_168_1977_NA"
"15-44",796,NA,"Traditional methods include folk methods.",NA,NA,37.7,25.4,12.3,NA,NA,NA,NA,"MW","?",NA,"Including folk methods.",0,600,"Paraguay",1979,1979,1979,1979,"1979 WFS","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_796_1979_NA"
"15-44",2772,NA,"Traditional methods include folk methods.",NA,NA,44.8,29,15.8,32.9,NA,NA,NA,"MW","?",NA,"Including folk methods.",0,600,"Paraguay",1987,1987,1987,1987,"1987 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2772_1987_NA"
"15-49",1686,NA,NA,NA,NA,48.3974324,35.19937772,13.19805468,17.42006541,NA,NA,NA,"MW","0",NA,NA,0,600,"Paraguay",1990,1990,1990.328767,1990.663014,"1990 DHS","DHS",0,"py21",0.054981718,0.067327737,0.052017238,0.011625395,0.007070375,0.00749692,1,"1_1686_1990_NA"
"15-49",782,NA,"Traditional methods include folk methods.",NA,NA,55.9,41.3,14.6,19.2,NA,NA,NA,"MW","0",NA,"Including folk methods.",1,600,"Paraguay",1995,1996,1995.747945,1996.161202,"1995-1996 ENDSR-RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_782_1995_NA"
"15-44",30,NA,"Traditional methods include folk methods.",NA,NA,62.3,47.7,14.6,17.3,NA,NA,NA,"MW","?",NA,"Including folk methods.",1,600,"Paraguay",1998,1998,1998.70411,1998.912329,"1998 ENSMI-RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_30_1998_NA"
"15-44",649,NA,NA,NA,NA,72.8,60.5,12.3,6.6,NA,NA,NA,"MW","?",NA,NA,1,600,"Paraguay",2004,2004,2004.163934,2004.579235,"2004 ENDSSR-RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_649_2004_NA"
"15-44",4544,NA,NA,NA,NA,79.4,70.7,8.7,4.7,NA,NA,NA,"MW","?",NA,NA,1,600,"Paraguay",2008,2008,2008.415301,2008.830601,"2008 ENDSSR-RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4544_2008_NA"
"15-49",7496,NA,NA,NA,NA,68.35988695,66.43722314,1.922663811,12.13177981,NA,NA,NA,"MW","0",NA,NA,1,600,"Paraguay",2016,2016,2016.415301,2016.70765,"2016 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7496_2016_NA"
"15-49",4881,NA,NA,NA,NA,26,10,16,NA,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",1969,1970,1969,1970,"1969-1970 PECFAL","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4881_1969_NA"
"15-49",789,NA,NA,NA,NA,31.4,11.2,20.2,NA,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",1977,1978,1977.49589,1978.410959,"1977-1978 WFS","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_789_1977_NA"
"15-49",52,NA,NA,NA,NA,41,17.63,23.37,NA,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",1981,1981,1981,1981,"1981 ENPA","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_52_1981_NA"
"15-49",1771,NA,NA,NA,NA,45.75862069,23.03448276,22.72413793,27.7,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",1986,1986,1986.665753,1986.99726,"1986 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1771_1986_NA"
"15-49",1772,NA,NA,NA,NA,58.97725675,32.80153268,26.17572407,21.63023546,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",1991,1992,1991.747945,1992.245902,"1991-1992 DHS","DHS",0,"pe21",0.032593544,0.03178444,0.038406533,0.006298431,0.005343762,0.005704598,1,"1_1772_1991_NA"
"15-49",1773,NA,NA,NA,NA,64.22695342,41.34692954,22.88002388,17.68609033,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",1996,1996,1996.581967,1996.912568,"1996 DHS","DHS",0,"pe31",0.028068418,0.027529769,0.033388886,0.005995977,0.004288196,0.004158761,1,"1_1773_1996_NA"
"15-49",1774,NA,NA,NA,NA,68.87665463,50.42200432,18.45465032,14.39091455,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",2000,2000,2000.497268,2000.912568,"2000 DHS","DHS",0,"pe41",0.02717583,0.029775671,0.035777682,0.006055784,0.004027721,0.003886989,1,"1_1774_2000_NA"
"15-49",2515,NA,NA,NA,NA,71.30154453,47.59607676,23.70546777,12.19969363,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",2004,2006,2006.021918,2006.745205,"2004-2006 DHS","DHS",0,"pe51a",0.032967527,0.036643123,0.048507966,0.007210108,0.005779261,0.004224249,1,"1_2515_2006_NA"
"15-49",2517,NA,NA,NA,NA,72.43649228,48.77371522,23.66277707,12.58333945,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",2007,2008,2007,2008.830601,"2007-2008 DHS","DHS",0,"pe51b",0.031556819,0.035216282,0.047837731,0.006912349,0.005602515,0.003966634,1,"1_2517_2007_NA"
"15-49",4702,NA,NA,NA,NA,73.19655979,49.96287535,23.23368444,11.10279173,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",2009,2009,2009.161644,2009.912329,"2009 DHS","DHS",0,"pe5i",0.029529497,0.033405828,0.043083681,0.006475081,0.005248979,0.003461913,1,"1_4702_2009_NA"
"15-49",2516,NA,NA,NA,NA,74.3702279,50.50162993,23.86859797,10.5318696,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",2010,2010,2010.161644,2010.99726,"2010 DHS","DHS",0,"pe61",0.030284083,0.03164159,0.045228114,0.006474892,0.004962558,0.00350794,1,"1_2516_2010_NA"
"15-49",5373,NA,NA,NA,NA,75.38074851,51.10183895,24.27890957,9.722464822,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",2011,2011,2011.161644,2011.99726,"2011 DHS","DHS",0,"pe6a",0.0291157,0.034199754,0.049210696,0.00617751,0.005335497,0.003438504,1,"1_5373_2011_NA"
"15-49",5555,NA,NA,NA,NA,75.49450731,51.79519057,23.69931674,9.541899836,NA,NA,NA,"MW","0",NA,NA,0,604,"Peru",2012,2012,2012.163934,2012.997268,"2012 DHS","DHS",0,"pe6i",0.032075267,0.03375768,0.043587349,0.007013117,0.005372882,0.003177524,1,"1_5555_2012_NA"
"15-49",5826,NA,"Traditional methods include folk methods.",NA,NA,74,51.3,22.7,9,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,604,"Peru",2013,2013,2013.161644,2013.912329,"2013 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5826_2013_NA"
"15-49",5954,NA,"Traditional methods include folk methods.",NA,NA,74.6,52.2,22.4,8.6,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,604,"Peru",2014,2014,2014.161644,2014.99726,"2014 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5954_2014_NA"
"15-49",7517,NA,"Traditional methods include folk methods.",NA,NA,74.6,53.3,21.3,6.5,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,604,"Peru",2015,2015,2015.175342,2015.967123,"2015 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7517_2015_NA"
"15-49",7518,NA,"Traditional methods include folk methods.",NA,NA,76.2,54.3,21.9,6,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,604,"Peru",2016,2016,2016.185792,2016.961749,"2016 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7518_2016_NA"
"15-49",7641,NA,"Traditional methods include folk methods.",NA,NA,75.4,54.5,20.9,6.454650366,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,604,"Peru",2017,2017,2017.164384,2017.958904,"2017 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7641_2017_NA"
"15-49",7725,NA,"Traditional methods include folk methods.",NA,NA,76.3,55,21.3,6.3,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,604,"Peru",2018,2018,2018.084932,2018.956164,"2018 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7725_2018_NA"
"15-49",9104,NA,"Traditional methods include folk methods.",NA,NA,75.9,55.6,20.3,6.1,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,604,"Peru",2019,2019,2019,2019.99726,"2019 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_9104_2019_NA"
"15-49",9105,NA,"Traditional methods include folk methods.",NA,NA,77.4,55,22.3,6.1,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,604,"Peru",2020,2020,2020,2020.997268,"2020 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_9105_2020_NA"
"15-49",821,NA,NA,NA,NA,36.2,16.2,20,NA,NA,NA,NA,"MW","0",NA,NA,0,608,"Philippines",1978,1978,1978.156164,1978.460274,"1978 WFS","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_821_1978_NA"
"15-49",1836,NA,NA,NA,NA,39.97538439,24.85387147,15.12151292,30.16563737,NA,NA,NA,"MW","0",NA,NA,0,608,"Philippines",1993,1993,1993.161644,1993.410959,"1993 DHS","DHS",0,"ph31",0.031885766,0.035888183,0.029769754,0.005621518,0.004340512,0.005656455,1,"1_1836_1993_NA"
"15-49",3269,NA,NA,NA,NA,50.7,25.4,25.4,NA,NA,NA,NA,"MW","0",NA,NA,1,608,"Philippines",1995,1995,1995,1995,"Annual FPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3269_1995_NA"
"15-49",3270,NA,NA,NA,NA,48.1,30.2,17.9,NA,NA,NA,NA,"MW","0",NA,NA,1,608,"Philippines",1996,1996,1996,1996,"Annual FPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3270_1996_NA"
"15-49",3271,NA,NA,NA,NA,47,30.9,16.1,NA,NA,NA,NA,"MW","0",NA,NA,1,608,"Philippines",1997,1997,1997,1997,"Annual FPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3271_1997_NA"
"15-49",1837,NA,NA,NA,NA,47.80969749,28.06253633,19.74716115,24.57051062,NA,NA,NA,"MW","0",NA,NA,0,608,"Philippines",1998,1998,1998.084932,1998.326027,"1998 DHS","DHS",0,"ph3b",0.032422999,0.032673129,0.034263495,0.006115843,0.004816252,0.005690789,1,"1_1837_1998_NA"
"15-49",3273,NA,NA,NA,NA,49.3,32.4,16.9,NA,NA,NA,NA,"MW","0",NA,NA,1,608,"Philippines",1999,1999,1999,1999,"Annual FPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3273_1999_NA"
"15-49",3274,NA,NA,NA,NA,47,32.1,14.7,NA,NA,NA,NA,"MW","0",NA,NA,1,608,"Philippines",2000,2000,2000,2000,"Annual FPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3274_2000_NA"
"15-49",3275,NA,NA,NA,NA,49.5,33.1,16.4,NA,NA,NA,NA,"MW","0",NA,NA,1,608,"Philippines",2001,2001,2001,2001,"Annual FPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3275_2001_NA"
"15-49",3276,NA,NA,NA,NA,48.8,35.1,13.8,NA,NA,NA,NA,"MW","0",NA,NA,1,608,"Philippines",2002,2002,2002,2002,"Annual FPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3276_2002_NA"
"15-49",1850,NA,NA,NA,NA,48.87272946,33.19714246,15.67558699,22.50699525,NA,NA,NA,"MW","0",NA,NA,0,608,"Philippines",2003,2003,2003.413699,2003.745205,"2003 DHS","DHS",0,"ph41",0.029326604,0.035432285,0.032558901,0.006127957,0.004402426,0.005025592,1,"1_1850_2003_NA"
"15-49",3278,NA,NA,NA,NA,49.3,35.1,14.2,NA,NA,NA,NA,"MW","0",NA,NA,1,608,"Philippines",2004,2004,2004,2004,"Annual FPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3278_2004_NA"
"15-49",3279,NA,NA,NA,NA,49.3,36,13.2,NA,NA,NA,NA,"MW","0",NA,NA,1,608,"Philippines",2005,2005,2005,2005,"Annual FPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3279_2005_NA"
"15-49",3280,NA,NA,NA,NA,50.6,35.9,14.8,NA,NA,NA,NA,"MW","0",NA,NA,1,608,"Philippines",2006,2006,2006,2006,"Annual FPS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_3280_2006_NA"
"15-49",4700,NA,NA,NA,NA,50.72954639,33.90408371,16.82546268,22.01793464,NA,NA,NA,"MW","0",NA,NA,0,608,"Philippines",2008,2008,2008.581967,2008.745902,"2008 DHS","DHS",0,"ph50",0.032740673,0.037307121,0.033386464,0.006892456,0.004895755,0.005197684,1,"1_4700_2008_NA"
"15-49",5335,NA,NA,NA,NA,48.9,36.9,12,19.3,NA,NA,NA,"MW","0",NA,NA,0,608,"Philippines",2011,2011,2011,2011,"2011 FHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5335_2011_NA"
"15-49",5613,NA,NA,NA,NA,55.11138578,37.37497104,17.73641474,17.49960663,NA,NA,NA,"MW","0",NA,NA,0,608,"Philippines",2013,2013,2013.580822,2013.745205,"2013 DHS","DHS",0,"ph62",0.026641373,0.034112399,0.031968584,0.005654346,0.004516082,0.00419085,1,"1_5613_2013_NA"
"15-49",7369,NA,NA,NA,NA,54.25474254,40.28249919,13.97224335,16.69130987,NA,NA,NA,"MW","0",NA,NA,0,608,"Philippines",2017,2017,2017.580822,2017.830137,"2017 DHS","DHS",0,"ph71",0.031059876,0.038182441,0.041628328,0.006985411,0.004277794,0.00500113,1,"1_7369_2017_NA"
"<45",5154,"Adjusted.",NA,NA,NA,60,13.2,46.8,NA,NA,NA,NA,"MW","?",NA,NA,0,616,"Poland",1972,1972,1972,1972,"1972 Family Inquiry","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5154_1972_NA"
"<45",5155,NA,NA,NA,NA,75,26.3,48.8,NA,NA,NA,NA,"MW","?",NA,NA,0,616,"Poland",1977,1977,1977.747945,1977.830137,"1977 WFS","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5155_1977_NA"
"20-49",2814,NA,NA,NA,NA,72.75405007,27.98232695,44.77172312,NA,NA,NA,NA,"MW","+",NA,NA,1,616,"Poland",1991,1991,1991.915068,1991.99726,"1991 FFS","FFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2814_1991_NA"
"18-49",7427,NA,"Modern methods exclude female and male sterilisation.",NA,NA,50.5,41.3,9.2,NA,NA,NA,NA,"MW","+","-",NA,1,616,"Poland",2010,2011,2010.8,2011.158904,"2010-2011 GGS","GGS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7427_2010_NA"
